wim_code,timestamp,type,axles,lane,speed,weight,size,plate,overweight,oversize,speeding
2740001,2024-03-27 00:04:00.000,3,5,2,85.32,false,false,true,false,false,false
2740001,2024-03-27 00:04:17.142,3,2,1,46.60,false,false,true,false,false,false
2740001,2024-03-27 00:08:00.000,2,2,2,78.20,false,false,true,false,false,false
2740001,2024-03-27 00:08:34.285,1,2,1,109.56,false,false,true,false,false,false
2740001,2024-03-27 00:12:00.000,1,2,2,44.02,false,false,true,false,false,false
2740001,2024-03-27 00:12:51.428,1,2,1,107.53,false,false,true,false,false,false
2740001,2024-03-27 00:16:00.000,3,5,2,71.73,false,false,true,false,false,false
2740001,2024-03-27 00:17:08.571,1,2,1,54.45,false,false,true,false,false,false
2740001,2024-03-27 00:20:00.000,1,2,2,102.15,false,false,true,false,false,false
2740001,2024-03-27 00:21:25.714,1,2,1,103.42,false,false,true,false,false,false
2740001,2024-03-27 00:24:00.000,1,2,2,105.42,false,false,true,false,false,false
2740001,2024-03-27 00:25:42.857,3,2,1,38.84,false,false,true,false,false,false
2740001,2024-03-27 00:28:00.000,3,6,2,72.21,false,false,true,false,false,false
2740001,2024-03-27 00:30:00.000,3,4,1,70.88,false,false,true,false,false,false
2740001,2024-03-27 00:32:00.000,1,2,2,103.25,false,false,true,false,false,false
2740001,2024-03-27 00:34:17.142,1,2,1,105.63,false,false,true,false,false,false
2740001,2024-03-27 00:36:00.000,1,3,2,83.63,false,false,true,false,false,false
2740001,2024-03-27 00:38:34.285,3,6,1,85.98,false,false,true,false,false,false
2740001,2024-03-27 00:40:00.000,1,2,2,102.83,false,false,true,false,false,false
2740001,2024-03-27 00:42:51.428,1,2,1,107.31,false,false,true,false,false,false
2740001,2024-03-27 00:44:00.000,2,2,2,103.59,false,false,true,false,false,false
2740001,2024-03-27 00:47:08.571,3,2,1,55.53,false,false,true,false,false,false
2740001,2024-03-27 00:48:00.000,1,2,2,61.93,false,false,true,false,false,false
2740001,2024-03-27 00:52:00.000,1,2,2,102.53,false,false,true,false,false,false
2740001,2024-03-27 00:52:27.619,1,2,1,101.95,false,false,true,false,false,false
2740001,2024-03-27 00:56:00.000,1,2,2,61.66,false,false,true,false,false,false
2740001,2024-03-27 00:57:46.666,3,3,1,80.08,false,false,true,false,false,false
2740001,2024-03-27 01:03:05.714,1,2,1,96.83,false,false,true,false,false,false
2740001,2024-03-27 01:03:10.000,3,6,2,72.74,false,false,true,false,false,false
2740001,2024-03-27 01:08:24.761,3,4,1,78.50,false,false,true,false,false,false
2740001,2024-03-27 01:10:20.000,3,2,2,75.52,false,false,true,false,false,false
2740001,2024-03-27 01:13:43.809,1,2,1,100.74,false,false,true,false,false,false
2740001,2024-03-27 01:17:30.000,1,2,2,101.59,false,false,true,false,false,false
2740001,2024-03-27 01:19:02.857,1,2,1,108.17,false,false,true,false,false,false
2740001,2024-03-27 01:24:21.904,1,2,1,104.80,false,false,true,false,false,false
2740001,2024-03-27 01:24:40.000,3,6,2,79.82,false,false,true,false,false,false
2740001,2024-03-27 01:29:40.952,1,3,1,100.48,false,false,true,false,false,false
2740001,2024-03-27 01:31:50.000,3,3,2,79.65,false,false,true,false,false,false
2740001,2024-03-27 01:35:00.000,1,2,1,51.59,false,false,true,false,false,false
2740001,2024-03-27 01:35:02.523,1,2,1,49.78,false,false,true,false,false,false
2740001,2024-03-27 01:39:00.000,3,2,2,84.17,false,false,true,false,false,false
2740001,2024-03-27 01:41:41.682,1,2,1,103.86,false,false,true,false,false,false
2740001,2024-03-27 01:46:10.000,1,2,2,99.97,false,false,true,false,false,false
2740001,2024-03-27 01:48:20.841,3,5,1,88.56,false,false,true,false,false,false
2740001,2024-03-27 01:53:20.000,2,2,2,35.51,false,false,true,false,false,false
2740001,2024-03-27 01:55:00.000,1,2,1,56.82,false,false,true,false,false,false
2740001,2024-03-27 02:02:55.000,1,2,1,106.10,false,false,true,false,false,false
2740001,2024-03-27 02:08:40.000,1,2,2,104.24,false,false,true,false,false,false
2740001,2024-03-27 02:10:50.000,1,2,1,109.89,false,false,true,false,false,false
2740001,2024-03-27 02:18:45.000,3,6,1,87.42,false,false,true,false,false,false
2740001,2024-03-27 02:24:00.000,1,2,2,63.07,false,false,true,false,false,false
2740001,2024-03-27 02:26:40.000,1,2,1,58.39,false,false,true,false,false,false
2740001,2024-03-27 02:33:20.000,3,2,1,106.43,false,false,true,false,false,false
2740001,2024-03-27 02:39:06.666,1,2,2,96.72,false,false,true,false,false,false
2740001,2024-03-27 02:40:00.000,3,5,1,82.06,false,false,true,false,false,false
2740001,2024-03-27 02:46:40.000,1,2,1,42.59,false,false,true,false,false,false
2740001,2024-03-27 02:54:13.333,2,2,2,77.85,false,false,true,false,false,false
2740001,2024-03-27 02:57:46.666,1,2,1,111.91,false,false,true,false,false,false
2740001,2024-03-27 03:08:53.333,1,2,1,102.79,false,false,true,false,false,false
2740001,2024-03-27 03:09:20.000,2,2,2,74.17,false,false,false,false,false,false
2740001,2024-03-27 03:20:00.000,1,2,1,47.06,false,false,true,false,false,false
2740001,2024-03-27 03:24:26.666,3,2,2,106.56,false,false,true,false,false,false
2740001,2024-03-27 03:31:15.000,1,2,1,103.97,false,false,true,false,false,false
2740001,2024-03-27 03:39:33.333,1,2,2,103.48,false,false,true,false,false,false
2740001,2024-03-27 03:42:30.000,1,2,1,106.85,false,false,true,false,false,false
2740001,2024-03-27 03:53:45.000,1,2,1,103.83,false,false,true,false,false,false
2740001,2024-03-27 03:54:40.000,1,2,2,104.86,false,false,true,false,false,false
2740001,2024-03-27 04:05:00.000,1,2,1,95.64,false,false,true,false,false,false
2740001,2024-03-27 04:09:46.666,1,2,2,108.52,false,false,true,false,false,false
2740001,2024-03-27 04:16:15.000,3,2,1,82.17,false,false,true,false,false,false
2740001,2024-03-27 04:24:53.333,1,2,2,98.03,false,false,true,false,false,false
2740001,2024-03-27 04:27:30.000,1,2,1,103.25,false,false,true,false,false,false
2740001,2024-03-27 04:38:45.000,1,2,1,100.77,false,false,true,false,false,false
2740001,2024-03-27 04:40:00.000,1,2,2,39.39,false,false,true,false,false,false
2740001,2024-03-27 04:40:02.748,3,3,2,37.97,false,false,true,false,false,false
2740001,2024-03-27 04:50:00.000,2,2,1,64.89,false,false,true,false,false,false
2740001,2024-03-27 04:54:38.297,3,2,2,74.80,false,false,true,false,false,false
2740001,2024-03-27 04:55:31.764,3,3,1,71.30,false,false,true,false,false,false
2740001,2024-03-27 05:01:03.529,1,2,1,112.66,false,false,true,false,false,true
