wim_code,road_code,road_name,km_marker,location,lanes,weight,size,speed,plate
2740001,75К-205,Обход города Челябинска,14+050,Сосновский район,2,False,False,True,True
2740002,75К-205,Обход города Челябинска,22+700,Сосновский район,2,False,False,True,True
2740003,75К-015,Миасс–Карабаш–Кыштым,41+600,Карабашский ГО,2,False,False,True,True
2740004,75К-055,Аша–Кропачево–Шарлаш,14+125,Ашинский район,2,True,True,True,True
2740005,75К-010,Черноречье–Чесма–Варна–Карталы–Бреды,28+948,Чесменский район,2,False,False,True,True
2740006,75К-006,Чебаркуль–Уйское–Сурменевский–Магнитогорск,171+810,Верхнеуральский район,2,False,False,True,True
2740007,75К-148,Кунашак–Усть-Багаряк,38+950,Кунашакский район,2,True,True,True,True
2740008,75К-197,Кочкарь–Варламово,8+000,Пластовский район,2,False,False,True,True
2740009,75К-055,Аша–Кропачево–Шарлаш,30+300,Ашинский район,2,True,True,True,True
2740010,75К-163,Миасс–Сыростан–ж/д ст. Хребет,6+102,Миасский ГО,2,True,True,True,True
2740011,75К-205,Обход города Челябинска,1+400,Копейский ГО,2,True,True,True,True
2740012,75К-211,Челябинск–Харлуши–граница Аргаяшского района,12+450,Сосновский район,2,True,True,True,True
2740013,75К-007,Долгодеревенское–Аргаяш–Кузнецкое–Кыштым,19+250,Аргаяшский район,2,True,True,True,True
2740014,75К-138,Вахрушево–Долгодеревенское,2+685,Красноармейский район,2,True,True,True,True
